"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","%s đã cập nhật lại trong giỏ hàng."
"* Required Fields","* Yêu cầu phải nhập"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện mới"
"Add coupon code for shopping cart","Thêm mã giảm"
"Add gift messages to shopping cart","Thêm lời gửi tặng"
"Add product to shopping cart","Thêm sản phẩm"
"Add product(s) to shopping cart","Thêm nhiều sản phẩm"
"Add to Cart","Mua"
"Add to Compare","So sánh"
"Add to Wishlist","Lưu lại"
"Additional Product Info","Thông tin kỹ thuật"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After Adding a Product Redirect to Shopping Cart","Chuyển đến giỏ hàng sau khi thêm"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Bạn đã đăng ký thành viên?"
"An error occurred in the process of payment.","Đã xảy ra lỗi khi thực hiện thanh toán."
"An error occurred while deleting this condition.","Đã xảy ra lỗi khi thực hiện xóa trạng thái này."
"An error occurred while saving this condition.","Đã xảy ra lỗi khi thực hiện lưu trạng thái này."
"Apply Coupon","Áp dụng mã giảm"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn bỏ sản phẩm này ra khỏi giỏ hàng?"
"Back","Quay lại"
"Back to Billing Information","Quay lại địa chỉ thanh toán"
"Back to Select Addresses","Quay lại địa chỉ đã chọn"
"Back to Shipping Information","Quay lại địa chỉ vận chuyển"
"Back to Shopping Cart","Quay lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Chúng tôi nghĩ, sản phẩm sau sẽ giúp ích thêm cho bạn:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin địa chỉ thanh toán"
"Billing Information - %s","Địa chỉ thanh toán - %s"
"Cancel Coupon","Hủy Coupon"
"Cannot add item to the shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot add the item to shopping cart","Bạn không thể thêm sản phẩm này vào giỏ hàng"
"Cannot add the item to shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot apply the coupon code.","Bạn không thể áp dụng mã coupon này."
"Cannot configure product.","Bạn không thể cấu hình sản phẩm này."
"Cannot open the overview page","Bạn không thể mở trang tổng quan"
"Cannot process the item.","Bạn không thể xử lý sản phẩm này."
"Cannot remove the item.","Bạn không thể gỡ bỏ sản phẩm này."
"Cannot update the item.","Bạn không thể cập nhật sản phẩm này."
"Card Verification Number Visual Reference","Số thẻ xác nhận tham khảo trực quan"
"Cart Product API","Giỏ hàng API"
"Cart Subtotal:","Tổng số phụ của giỏ hàng:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Checkbox Text","Chọn tiêu đề"
"Checkout", "Thanh toán"
"Checkout Conditions","Các điều kiện thanh toán"
"Checkout Method","Phương thức thanh toán"
"Checkout Options","Các tùy chọn thanh toán"
"Checkout Progress Wrapper","Thanh toán quá trình bao gói"
"Checkout Section","Mục thanh toán"
"Checkout Terms and Conditions","Điều khoản thanh toán"
"Checkout as Guest","Đặt hàng không cần đăng ký"
"Checkout as a Guest or Register","Thanh toán bằng tài khoản khách hoặc đăng ký để thanh toán"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"City","Quận/Huyện"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Nhấn vào đây để in</a> một bản sao xác nhận đơn hàng của bạn."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Click vào đây</a> để tiếp tục mua hàng."
"Close","Đóng"
"Company","Tên đơn vị"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Ảnh cấu hình sản phẩm"
"Configure Cart Item","Ảnh cấu hình giỏ hàng"
"Confirm Password","Nhập lại mật khẩu"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục điền thông tin thanh toán"
"Continue to Review Your Order","Tiếp tục xem lại đơn đặt hàng của bạn"
