"-OR-","-HOẶC-"
"2-pixel perimeter around the header space.","Chu vi xung quanh không gian tiêu đề là 2-pixel."
"3D Secure","An toàn 3D"
"3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Thẻ 3D xác nhận an toàn là cần thiết cho thẻ Meastro. Supporting of American Express cards require additional agreement. Tìm hiểu thêm tại <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Bắt đầu nhận thanh toán qua PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Một giá trị là cần thiết cho chế độ trực tiếp. Hãy tham khảo thỏa thuận thương mại của bạn."
"ACH Deposit (Hold for Dispute or Other Investigation)","Tiền đặt cọc ACH (Tổ chức cho tranh chấp hoặc điều tra khác)"
"ACH Deposit (Reversal)","Đặt cọc ACH (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH tài trợ cho Quỹ Phục hồi từ Số dư tài khoản"
"ACH Withdrawal","Rút tiền ACH"
"API Authentication Methods","Phương pháp API Xác thực"
"API Certificate","Giấy chứng nhận API"
"API Password","Mật khẩu API"
"API Signature","Chữ ký API"
"API Username","Tên đăng nhập API"
"API Uses Proxy","API Sử dụng Proxy"
"API/Integration","API / Tích hợp"
"API/Integration Settings","Cài đặt API / Tích hợp"
"Ability for buyer to purchase without PayPal account.","Khả năng cho người mua để mua hàng mà không cần tài khoản PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Chấp nhận thanh toán PayPal trong giỏ hàng của bạn. PayPal sẽ xử lý thanh toán thẻ tín dụng của bạn thông qua các Cổng Payflow Pro."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Chấp nhận thanh toán với PCI giữ khách hàng trên trang web của bạn. Bao gồm một tài khoản thương gia từ PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Chấp nhận thanh toán với PCI giữ khách hàng trên trang web của bạn. Sử dụng tài khoản thương mại của bạn."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Chấp nhận thanh toán mà không có khách hàng từ bỏ trang web của bạn. Nhiều dịch vụ web-hosting phổ biến và giỏ mua hàng đi kèm với các cổng thanh toán Payflow, do đó dễ dàng để thiết lập."
"Acceptance Mark","Chấp nhận Đánh dấu"
"Acceptance Mark Image","Chấp nhận Đánh dấu Hình ảnh"
"Account-to-Account Payment, initiated by PayPal","Chuyển khoản, bắt đầu bằng PayPal"
