"%d Review(s)","%d Nhận xét "
"%s Review(s)","%s Nhận xét"
"(Posted on %s)","(Viết ngày %s)"
"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""""%1$s"""" onclick=""""this.target=\'blank\'"""">%2$s %3$s</a> <a href=""""mailto:%4$s"""">(%4$s)</a>"
"Add New Review","Thêm Đánh giá"
"Add Your Review","Nhận xét của bạn"
"Administrator","Quản trị viên"
"All Reviews","Toàn bộ Đánh giá"
"All Reviews of Customer `%s`","Tất cả nhận xét của khách hàng `%s`"
"Allow Guests to Write Reviews","Cho phép khách viết nhận xét"
"Are you sure you want to do this?","Bạn có chắc muốn thực hiện nó?"
"Are you sure?","Bạn có chắc không?"
"Average Customer Rating","Đánh giá của khách hàng"
"Average Customer Rating:","Đánh giá của khách hàng:"
"Back","Trở về"
"Back to Main Product Info","Quay lại trang chi tiết sản phẩm"
"Back to My Reviews","Quay lại trang đánh giá"
"Back to Product Reviews","Quay lại đánh giá sản phẩm"
"Be the first to review this product","Đánh giá sản phẩm này"
"Catalog Product Review View","Xem danh mục đánh giá sản phẩm"
"Catalog Product Reviews List","Danh mục đánh giá sản phẩm"
"Created On","Tạo trên"
"Customer","Khách hàng"
"Customer My Account Product Reviews","Đánh giá sản phẩm của khách hàng"
"Customer My Account Review Details","Chi tiết đánh giá sản phẩm của khách hàng"
"Customer Reviews","Nhận xét của khách hàng"
"Customers Reviews","Nhận xét của khách hàng"
"Delete","Xóa"
"Delete Review","Xóa nhận xét này"
"Detailed Rating","Chi tiết đánh giá"
"Edit Review '%s'","Sửa nhận xét này '%s'"
"Guest","Khách"
"How do you rate this product?","Bạn đánh giá như thế nào về sản phẩm này?"
"ID","ID"
"Manage Ratings","Quản lý đánh giá"
"My Product Reviews","Sản phẩm đã nhận xét"
"My Recent Reviews","Nhận xét gần đây"
"Name","Tên"
"Name in Store","Tên cửa hàng"
"New Review","Nhận xét mới"
"Nickname","Tên của bạn"
"Nickname can\'t be empty","Nickname không thể trống"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Chỉ người dùng đã đăng ký có thể viết đánh giá. Vui lòng, <a href=""""%s"""">đăng nhập</a> hoặc <a href=""""%s"""">đăng ký</a>"
"Pending Reviews","Chờ ý kiến"
"Pending Reviews of Customer `%s`","Chờ ý kiến của khách hàng `%s`"
"Please select a product","Hãy chọn một sản phẩm"
"Please select one of each of the ratings above","Hãy chọn một trong số các đánh giá trên"
"Posted By","Được đăng bởi"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩn"
"Product Rating","Đánh giá sản phẩm"
"Product Rating:","Đánh giá sản phẩm:"
"Product Review (submitted on %s):","Nhận xét sản phẩm (gửi vào %s):"
"Product Reviews","Nhận xét sản phẩm"
"Product SKU","Mã sản phẩm"
"Products Reviews","Nhận xét sản phẩm"
"Qty","Số lượng"
"Rating:","Đánh giá:"
"Review","Nhận xét"
"Review (submitted on %s):","Nhận xét (gửi vào %s):"
"Review Details","Chi tiết nhận xét"
"Review Form Fields Before","Xem lại mẫu trước"
"Review by <span>%s</span>","Người viết <span>%s</span>"
"Review can\'t be empty","Nhận xét không thể trống"
"Review summary can\'t be empty","Tóm tắt đánh giá không thể trống"
"Reviews and Ratings","Nhận xét và đánh giá"
"SKU","Mã sản phẩm"
"Save Review","Lưu nhận xét"
"Status","Trạng thái"
"Submit Review, ""Gửi nhận xét"
"Summary Rating","Tóm tắt đánh giá"
"Summary of Review","Tóm tắt nhận xét"
"Summary of Your Review","Tiêu đề"
"Title","Tiêu đề"
"Type","Dạng"
"Unable to post the review.","Kích hoạt đăng nhận xét."
"Update Status","Cập nhật trạng thái"
"View All Reviews","Xem toàn bộ nhận xét"
"View Details","Xem chi tiết"
"Visible In","Có thể thấy được trong"
"Websites","Websites"
"Write Your Own Review","Viết nhận xét của bạn về sản phẩm này"
"You have submitted no reviews.","Bạn chưa gửi đánh giá."
"You're reviewing:","Nhận xét cho sản phẩm:"
"Your Rating:","Đánh giá của bạn:"
"Your Review (submitted on %s):","Đánh giá của bạn (gửi vào %s):"
"Your review has been accepted for moderation.","Nhận xét của bạn đã được kiểm duyệt."
