"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Sản phẩm"
"There are %s Item(s)","Có %s Sản phẩm"
"%s and above","%s nhiều hơn"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy dữ liệu từ: %s)"
"* Required Fields","* Phải nhập thông tin"
"-- Please Select --","-- Xin mời chọn --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Nếu không được thiết lập, 86400 theo mặc định. Để làm mới, hãy xóa cache Output Blocks HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cảnh báo!</strong> Ứng dụng MAP sẽ ẩn tất cả giá của sản phẩm trên giao diện ."
"A group with the same name already exists.","Tên nhóm đã tồn tại."
"A name is required","Vui lòng nhập tên"
"A product type is not defined for the indexer.","Sản phẩm này không được xác định cho chỉ mục."
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"AM","AM"
"Action","Hoạt động"
"Actual Price","Giá thực tế"
"Add","Thêm"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thiết kế"
"Add Group","Thêm nhóm"
"Add Group Price","Thêm nhóm giá"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính"
"Add New Attribute Set","Thêm nhóm thuộc tính"
"Add New Group","Thêm nhóm"
"Add New Images","Thêm hình"
"Add New Option","Thêm tùy chọn"
"Add New Row","Thêm dòng mới"
"Add New Search Term","Thêm thuật ngữ tìm kiếm mới"
"Add New Set","Thêm thiết lập mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm cho website"
"Add Root Category","Thêm danh mục cha"
"Add Subcategory","Thêm danh mục con"
"Add Tax","Thêm về thuế"
"Add Tier","Thêm cấp bậc"
"Add attribute into attribute set","Thêm thuộc tính vào bộ cài đặt thuộc tính"
"Add group into attribute set","Thêm nhóm vào bộ cài đặt thuộc tính"
"Add new custom option into product","Thêm tùy chọn mới vào sản phẩm"
"Add new values into custom option","Thêm giá trị mới vào tùy chọn"
"Add option","Thêm tùy chọn"
"Add to Cart","Mua"
"Add to Compare","So sánh"
"Add to Wishlist","Lưu lại"
"Additional Information","Thông tin kỹ thuật"
"Alert Urls","Cảnh báo các URL"
"All","Tất cả"
"All Product Types","Tất cả các loại sản phẩm"
"All Websites","Tất cả website"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả sản phẩm sẽ bị xóa! Bạn có chắc muốn xóa bộ thuộc tính này?"
"Allow All Products per Page","Cho phép xem tất cả sản phẩm"
"Allow Dynamic Media URLs in Products and Categories","Cho phép các URL động truyền trong Sản phẩm và Danh mục"
"Allow HTML Tags on Frontend","Cho phép thêm HTML vào giao diện người dùng"
"Allowed File Extensions","Cho phép các tệp mở rộng"
"Allowed file extensions to upload","Cho phép tệp mở rộng được tải lên"
"An error occurred while adding products to websites.","Đã xảy ra lỗi khi thêm sản phẩm vào websites."
"An error occurred while clearing comparison list.","Đã xảy ra lỗi khi xóa danh sách so sánh."
"An error occurred while deleting this review.","Đã xảy ra lỗi khi xóa bài đánh giá này."
"An error occurred while removing products from websites.","Đã xảy ra lỗi khi xóa các sản phẩm của websites."
"An error occurred while saving the URL rewrite","Đã xảy ra lỗi khi lưu bản sao URL"
"An error occurred while saving the attribute set.","Đã xảy ra lỗi khi lưu các thiết lập của thuộc tính."
"An error occurred while saving the collection, aborting. Error message: %s","Đã xảy ra lỗi khi lưu bộ sưu tập, hủy bỏ. Thông báo lỗi: %s"
"An error occurred while saving the product. ","Đã xảy ra lỗi khi lưu các sản phẩm. "
"An error occurred while saving the search query.","Đã xảy ra lỗi khi lưu các câu hỏi tìm kiếm."
"An error occurred while saving this group.","Đã xảy ra lỗi khi lưu nhóm này."
"An error occurred while saving this review.","Đã xảy ra lỗi khi lưu bản đánh giá này."
"An error occurred while trying to delete the category.","Đã xảy ra lỗi khi xóa các danh mục"
"An error occurred while updating the product(s) attributes.","Đã xảy ra lỗi khi cập nhật các thuộc tính của sản phẩm."
"An error occurred while updating the product(s) status.","Đã xảy ra lỗi khi cập nhật các tình trạng của sản phẩm."
"An invalid group ID is specified, skipping the record.","Một nhóm ID không hợp lệ được chỉ định, bỏ qua các bản ghi."
"An invalid option ID is specified for %s (%s), skipping the record.","Một tùy chọn ID không hợp lệ được chỉ định cho %s (%s), bỏ qua các bản ghi."
"An invalid store was specified.","Một cửa hàng không hợp lệ được chỉ định."
"Anchor Custom Text","Tùy chỉnh văn bản"
"Anchor Custom Title","Tùy chỉnh tiêu đề"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Chỉ áp dụng đối với các sản phẩm và danh mục của cửa hàng. Bất kỳ nội dung phương tiện truyền thông nào đều sẽ được chèn vào trình soạn thảo như một URL tĩnh. Nếu các cấu hình hệ thống thay đổi URL cơ bản thì nó sẽ không được cập nhật."
"Apply MAP (Default Value)","Áp dụng MAP (Giá trị mặc định)"
"Apply To","Áp dụng cho"
"Approved","Đồng ý"
"Are you sure you want to delete this category?","Bạn có chắc muốn xóa danh mục này?"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc muốn xóa tất cả sản phẩm trong bảng so sánh của bạn?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc muốn xóa sản phẩm này ra khỏi danh mục sản phẩm so sánh?"
"Are you sure?","Bạn có chắc không?"
"As low as:","Giá cho bạn:"
"Assign","Gán"
"Assign product link","Gán liên kết đến sản phẩm"
"Assign product to category","Gán sản phẩm vào danh mục"
"Assigned Products","Gán các sản phẩm"
"Associated Products","Các sản phẩm liên quan"
"Attrib. Set Name","Đặt tên thuộc tính"
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" không hợp lệ."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" là cần thiết."
"Attribute Information","Thông tinh thuộc tính"
"Attribute Model","Thuộc tính mẫu"
"Attribute Name:","Tên thuộc tính:"
"Attribute Set","Thiết lập thuộc tính"
"Attribute Sets","Các thiết lập thuộc tính"
"Attribute add","Thêm thuộc tính"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Mã thuộc tính không hợp lệ. Vui lòng chỉ sử dụng các ký tự (a-z), số (0-9) hoặc gạch dưới (_) trong mục này, ký tự đầu tiên phải là một chữ."
"Attribute group with the \"/name/\" name already exists","Tên nhóm thuộc tính \"/name/\" đã tồn tại"
"Attribute remove","Xóa thuộc tính"
"Attribute with the same code already exists","Mã thuộc tính đã tồn tại"
"Attributes","Các thuộc tính"
"Attrribute names can be specified per store.","Tên thuộc tính có thể xác định cho từng cửa hàng."
"Autogenerate","Tự động tạo"
"Availability:","Tình trạng:"
"Back","Trở về"
"Backend Model","Mẫu cuối"
"Backend Table","Bảng cuối"
"Backend Table Title","Tiêu đề bảng cuối"
"Backorders","Các đơn hàng đặt lại"
"Based On","Căn cứ vào"
"Before Order Confirmation","Trước khi xác nhận đơn hàng"
"Best Value","Giá trị tốt nhất"
"Block after Info Column","Thông tin cột sau khi chặn"
"Bottom Block Options Wrapper","Chặn tùy chọn ở cuối khung"
"Bottom/Left","Dưới/Trái"
"Bottom/Right","Dưới/Phải"
"Browse By","Xem theo"
"Bundle Items","Gói hàng"
"Buy %1$s","Mua %1$s"
"Buy %1$s for","Mua %1$s với"
"Buy %1$s for %2$s","Mua %1$s với %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua mỗi %1$s với %2$s (bao gồm thuế %3$s)"
"Buy %1$s for %2$s each","Mua mỗi %1 với %2$s"
"Cache Lifetime (Seconds)","Bộ nhớ đệm (Giây)"
"Cache refresh needed.","Cần làm mới bộ nhớ đệm."
"Can be used only with catalog input type Dropdown","Chỉ có thể được sử dụng với danh mục dạng thả"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Chỉ có thể được sử dụng với danh mục dạng thả, nhiều lựa chọn và giá"
"Can\'t create image.","Không thể tạo hình ảnh."
"Cancel","Hủy bỏ"
"Cannot create image.","Không thể tạo hình ảnh."
"Cannot create writeable directory '%s'.","Không thể tạo thư mục cho phép ghi '%s'."
"Cart Item Attribute","Thuộc tính giỏ hàng"
"Catalog","Danh mục"
"Catalog Category (Anchor)","Các loại danh mục (tin cậy)"
"Catalog Category (Non-Anchor)","Các loại danh mục (không tin cậy)"
"Catalog Category (Without Subcategories)","Các loại danh mục (nếu không có mục con)"
"Catalog Category Link","Các loại danh mục liên kết"
"Catalog New Products List","Danh sách sản phẩm mới"
"Catalog Price Scope","Bảng giá"
"Catalog Product Compare List","Bảng so sánh sản phẩm"
"Catalog Product Email to a Friend","Gửi danh mục sản phẩm đến mail một người bạn"
"Catalog Product Image Gallery Popup","Thư viện hình ảnh danh mục sản phẩm Popup"
"Catalog Product Link","Liên kết danh mục sản phẩm"
"Catalog Product View (Any)","Xem danh mục sản phẩm (Bất kỳ)"
"Catalog Product View (Configurable)","Xem danh mục sản phẩm (Cấu hình)"
"Catalog Product View (Grouped)","Xem danh mục sản phẩm (Theo nhóm)"
"Catalog Product View (Simple)","Xem danh mục sản phẩm (Đơn)"
"Catalog Product View (Virtual)","Xem danh mục sản phẩm (Ảo)"
"Catalog Section","Danh mục"
"Catalog Seo Popular Search Terms","Danh mục được tìm kiếm phổ biến"
"Catalog Seo Sitemap (Category List)","Danh mục sơ đồ trang web (Danh sách danh mục)"
"Catalog Seo Sitemap (Category Tree)","Danh mục sơ đồ trang web (Cây danh mục)"
"Catalog Seo Sitemap (Common)","Danh mục sơ đồ trang web (Phổ biến)"
"Catalog Seo Sitemap (Product List)","Danh mục sơ đồ trang web (Danh sách sản phẩm)"
"Catalog URL Rewrites","Danh mục URL ghi đè"
"Catalog product custom option values API","Danh mục tùy chỉnh sản phẩm các giá trị API"
"Catalog product custom options API","Danh sách tùy chỉnh sản phẩm API"
"Catalog, Search","Danh mục, Tìm kiếm"
"Categories","Danh mục"
"Categories Sitemap","Danh mục sơ đồ trang web"
"Category","Danh mục"
"Category API","Danh mục API"
"Category Data","Danh mục dữ liệu"
"Category Flat Data","Danh mục dữ liệu ngang"
"Category Link Block Template","Danh sách mẫu kiên kết khối"
"Category Link Inline Template","Danh sách mẫu liên kết nội tuyến"
"Category Products","Sản phẩm của danh mục"
"Category Top Navigation","Danh mục di chuyển hàng đầu"
"Category URL Suffix","Danh mục đuôi URL"
"Category attributes API","Danh mục thuộc tính API"
"Category move error","Danh mục lối di chuyển"
"Category move operation is not possible: parent category is equal to child category.","Danh mục chuyển thành trạng thái là không thể: danh mục cha tương đương với danh mục con."
"Category move operation is not possible: the current category was not found.","Danh mục chuyển thành trạng thái là không thể: không tìm thấy danh mục hiện hành."
"Category move operation is not possible: the new parent category was not found.","Danh mục chuyển thành trạng thái là không thể: không tìm thấy danh mục cha mới."
"Category must be an instance of Mage_Catalog_Model_Category.","Danh mục phải là một cá thể của Mage_Danh mục_Mẫu_Mục lục."
"Center","Trung tâm"
"Change","Thay đổi"
"Change or Retrieve attribute store view","Thay đổi hoặc truy xuất thuộc tính cửa hàng"
"Change status","Thay đổi trạng thái"
"Check items to add to the cart or","Kiểm tra hàng để thêm vào giỏ hàng"
"Choose an Option...","Xin mời chọn..."
"Clear All","Xóa hết"
"Click for price","Chọn giá"
"Close Window","Đóng"
"Collapse All","Thu gọn lại tất cả"
"Comma-separated.","Tách bằng dấu phẩy."
"Comparable","So sánh"
"Comparable on Front-end","So sánh trên Front-end"
"Comparable on the Frontend","So sánh trên giao diện người dùng"
"Compare","So sánh"
"Compare Products","So sánh"
"Conditions Combination","Kết hợp điều kiện"
"Configurable Product","Cấu hình sản phẩm"
"Configurable Product Settings","Cài đặt cấu hình sản phẩm"
"Configure Product","Cấu hình sản phẩm"
"Continue","Tiếp tục"
"Copy From Configurable","Sao chép cấu hình"
"Country/State","Quốc gia/ Nhà nước"
"Create","Tạo mới"
"Create (Upload)","Tạo mới (Tải lên)"
"Create Empty","Tạo mới rỗng"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo chuyển hướng vĩnh viễn cho các URL nếu khóa URL thay đổi"
"Create Permanent Redirect for old URL","Tạo chuyển hướng vĩnh viễn cho các URL cũ"
"Create Product Settings","Tạo thiết lập cho sản phẩm"
"Create Simple Associated Product","Tạo liên kết đơn giản cho sản phẩm"
"Create attribute set based on another set","Tạo thiết lập thuộc tính dựa trên các thiết lập khác"
"Create new attribute","Tạo thuộc tính mới"
"Create new category","Tạo danh mục mới"
"Create new product","Tạo sản phẩm mới"
"Cross-sells","Bán-chéo"
"Currently Shopping by:","Bạn đang tìm theo:"
"Custom Design","Chọn giao diện khác"
"Custom Options","Thêm tùy chọn"
"Custom options","Thêm tùy chọn"
"Customer Group","Nhóm khách hàng"
"Customers Reviews","Ý kiến khách hàng"
"Customers Tagged Product","Tagged của khách hàng"
"Data Type for Saving in Database","Dạng lưu dữ liệu trong cơ sở dữ liệu"
"Date & Time Custom Options","Tùy chỉnh Ngày & Giờ"
"Date Fields Order","Ngày đặt hàng"
"Date Subscribed","Ngày đăng ký"
"Datetime","Ngày giờ"
"Decimal","Số thập phân"
"Declare attribute value saving scope","Khai báo phạm vi lưu thuộc tính giá trị"
"Default ""What's This"" Text Message","Mặc định ""Đây là cái gì"" Tin nhắn "
"Default Popup Text Message","Mặc định tin nhắn Popup"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Mặc định chuyển hướng giá"
"Default Qty","Số lượng mặc định"
"Default Values","Giá trị mặc định"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Xác định phạm vi tiền tệ (""Thiết lập tiền tệ"" > ""Tùy chọn tiền tệ"" > ""Cơ sở tiền tệ"")."
"Delete","Xóa"
"Delete Attribute","Xóa thuộc tính"
"Delete Attribute Set","Xóa nhóm thuộc tính"
"Delete Category","Xóa danh mục"
"Delete Group Price","Xóa nhóm giá"
"Delete Option","Xóa tùy chọn"
"Delete Row","Xóa dòng"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xóa nhóm đang chọn"
"Delete Tier","Xóa cấp bậc"
"Delete attribute","Xóa thuộc tính"
"Delete category","Xóa danh mục"
"Delete product","Xóa sản phẩm"
"Depends on design theme","Phụ thuộc vào thiết kế giao diện"
"Design","Giao diện"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Disallowed file type.","Tập tin không cho phép."
"Display Actual Price","Hiện thị giá thực"
