"ALL","TẤT CẢ"
"ANY","NHIỀU"
"Add","Thêm"
"Apply","Áp dụng"
"Conditions Combination","Điều kiện kết hợp"
"Description: %s","Mô tả: %s"
"End Date should be greater than Start Date","Ngày kết thúc phải lớn hơn ngày bắt đầu"
"Expire at: %s","Hết hạn vào: %s"
"FALSE","THẤT BẠI"
"If %s of these conditions are %s:","Nếu %s trong các điều kiện là %s:"
"Invalid discount amount.","Số tiền giảm giá không hợp lệ."
"Name: %s","Tên: %s"
"Open Chooser","Mở trình chọn"
"Perform following actions","Thực hiện các hành động sau đây"
"Please choose a condition to add...","Vui lòng chọn điều kiện để thêm..."
"Please choose an action to add...","Vui lòng chọn hành động để thêm..."
"Remove","Hủy bỏ"
"Start at: %s","Bắt đầu vào: %s"
"TRUE","ĐÚNG"
"by","bởi"
"contains","bao gồm"
"does not contain","không bao gồm"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc nhỏ hơn"
"greater than","lớn hơn"
"is","là"
"is not","không phải là"
"is not one of","không là một trong"
"is one of","là một trong"
"less than","nhỏ hơn"
"to","đến"
