"3D Secure","An toàn 3D"
"3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"API Login ID","Mã số đăng nhập API"
"Accepted Currency","Chấp nhận tiền tệ"
"Allow Partial Authorization","Cho phép ủy quyền từng phần"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Bạn có chắc chắn muốn hủy thanh toán của bạn? Nhấn OK để hủy bỏ thanh toán và giữ lại số tiền của bạn. Nhấn Cancel để nhập một thẻ tín dụng và tiếp tục thanh toán của bạn."
"Authorize Only","Ủy quyền cho"
"Authorize and Capture","Ủy quyền và nắm bắt"
"Authorize.Net Transaction ID %s","Mã giao dịch Authorize.Net %s"
"Authorize.net","Authorize.net"
"Cancel","Hủy bỏ"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Các loại thẻ tín dụng"
"Credit Card Verification","Xác nhận thẻ tín dụng"
"Credit Card: xxxx-%s","Thẻ tín dụng: xxxx-%s"
"Debug","Gỡ lỗi"
"Email Customer","Email khách hàng"
"Enabled","Kích hoạt"
"Error in payment gateway.","Lỗi phương thức thanh toán."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Hành động cổng bị khóa vào không thể hoàn thành một hoặc nhiều giao dịch. Xin hãy đăng nhập vào tài khoản của bạn Authorize.Net tự giải quyết vấn đề."
"Gateway error: %s","Cổng vào bị lỗi: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu rỗng, giá trị mặc định sẽ được sử dụng. Tùy chỉnh URL có thể được cung cấp theo thỏa thuận Thương mại."
"Invalid amount for authorization.","Số tiền không hợp lệ."
"Invalid amount for capture.","Số tiền không hợp lệ."
"Invalid amount for partial authorization.","Số tiền không hợp lệ."
"Invalid amount for refund.","Số tiền hoàn trả không hợp lệ."
"Invalid split tenderId ID.","Mã tenderId không hợp lệ."
"Maximum Order Total","Tổng đơn đặt hàng tối đa "
"Merchant's Email","Mua bán Email"
"Minimum Order Total","Tổng số Đơn hàng tối thiểu"
"New Order Status","Tình hình đơn hàng mới"
"Payment Action","Hành động thanh toán"
"Payment authorization error.","Lỗi uỷ quyền thanh toán."
"Payment canceling error.","Lỗi hủy bỏ thanh toán."
"Payment capturing error.","Lỗi thanh toán."
"Payment from Applicable Countries","Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Payment partial authorization error.","Thanh toán một phần lỗi cấp phép."
"Payment refunding error.","Lỗi hoàn trả."
"Payment updating error.","Cập nhật lỗi thanh toán."
"Payment voiding error.","Lỗi thanh toán."
"Processed Amount","Tiền thực hiện"
"Remaining Balance","Số dư Còn lại"
"Severe 3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"Severe Validation Removes Chargeback Liability on Merchant","Loaị bỏ trách nhiệm pháp lý xác nhận hoàn trả trên Thị trường"
"Shopping cart contents and/or address has been changed.","Nội dung giỏ hàng và/ hoặc địa chỉ đã bị thay đổi."
"Sort Order","Sắp xếp theo thứ tự"
"Test Mode","Phương thức kiểm tra"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Số tiền trên thẻ tín dụng của bạn không đủ để hoàn thành việc mua hàng của bạn. Số tiền của bạn đã được hoàn trả lại. Để hoàn tất việc mua hàng bấm vào OK và xác định thêm số thẻ tín dụng. Để hủy bỏ việc mua và giữ lại tiền, nhấn Cancel."
"There was an error canceling transactions. Please contact us or try again later.","Có lỗi khi hủy giao dịch. Hãy liên hệ với chúng tôi hoặc thử lại sau."
"Title","Tiêu đề"
"Transaction Key","Giao dịch chính"
"You have reached the maximum number of credit card allowed to be used for the payment.","Bạn đã đạt đến số lượng tối đa của thẻ tín dụng được phép sử dụng để thanh toán"
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Số tiền trong tài khoản của bạn chỉ đủ để thanh toán một món hàng. Số tiền này không đủ để hoàn thành tất cả các thanh toán. Việc thanh toán đã bị hủy và các tiền đã được hoàn trả lại"
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Thẻ tín dụng của bạn đã bị từ chối. Nhấn OK để xác định một thẻ tín dụng để hoàn thành mua hàng của bạn. Nhấp vào Hủy bỏ để hoàn lại tiền và chọn phương thức thanh toán khác."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Đơn hàng của bạn đã không được đặt, bởi vì nội dung của giỏ hàng và / hoặc địa chỉ mua sắm đã được thay đổi. Các khoản được ủy quyền từ thanh toán trước đó còn sót lại đang chờ giờ được phát hành. Hãy kiểm tra nội dung giỏ hàng gần đây của bạn."
"Your payment has been cancelled. All authorized amounts have been released.","Thanh toán của bạn đã bị hủy. Tất cả các khoản được ủy quyền đã được hoàn trả lại."
"amount %s","Số tiền %s"
"authorize","Ủy quyền"
"authorize and capture","Ủy quyền và nắm bắt"
"capture","Hình ảnh"
"failed","Thất bại"
"refund","Hoàn trả"
"successful","Thành công"
"void","Vô hiệu"
