"%s %s cycle.","%s %s Chu kỳ."
"--Please Select--","--Mời bạn chọn--"
"3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"3D Secure Credit Card Validation","Thẻ tín dụng 3D an toàn"
"<label>Make Check payable to:</label> %s","<label>Kiểm tra các khoản phải trả:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Yêu cầu một giá trị cho chế độ sống. hãy tham khảo thỏa thuận thương mại để biết thêm."
"Allow Initial Fee Failure","Lệ phí ban đầu thất bại"
"An internal reference ID is required to save the payment profile.","Một Mã số tài liệu tham khảo nội bộ là cần thiết để lưu hồ sơ thanh toán."
"Authorize action is not available.","Hành động ủy quyền là không sẵn có."
"Auto Bill on Next Cycle","Chu kì tạo hóa đơn tự động"
"Automatically Invoice All Items","Tự động tạo hóa đơn cho tất cả mặt hàng"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Tự động tạo hóa đơn công nợ theo chu kì thanh toán tiếp theo (nếu có khoản thanh toán không thành công)."
"Billing Agreement status is not set.","Thỏa thuận thanh toán không được thiết lập."
"Billing Amount","Thanh toán tiền "
"Billing Frequency","Tần suất thanh toán"
"Billing Period","Thời gian thanh toán"
"Billing Period Unit","Thời gian thanh toán"
"Billing period unit is not defined or wrong.","Thời hạn thanh toán không được xác định hoặc sai."
"Cannot retrieve payment method instance.","Không có phương thức thanh toán."
"Cannot retrieve the payment info model object.","Không thể lấy mô hình thanh toán."
"Cannot retrieve the payment information object instance.","Không thể lấy thông tin thanh toán"
"Cannot retrieve the payment method code.","Không thể lấy mã phương thức thanh toán."
"Cannot retrieve the payment method model object.","Không có mô hình thanh toán."
"Capture action is not available.","Không thể chụp hình"
"Card Verification Number","Số xác minh thẻ"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Kiểm tra /Tiền Hoá Đơn "
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Number: xxxx-%s","Số thẻ tín dụng: xxxx-%s"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Type: %s","Loại thẻ tín dụng: %s"
"Credit Card Types","Loại thẻ tín dụng"
"Credit card number mismatch with credit card type.","Số thẻ tín dụng không phù hợp ."
"Credit card type is not allowed for this payment method.","Loại thẻ tín dụng không được phép cho phương thức thanh toán này."
"Currency","Tiền tệ"
"Currency code is undefined.","Mã tiền tệ là không xác định."
"Customer ID is not set.","Mã khách hàng không được thiết lập."
"Day","Ngày"
"Debug Mode","Chế độ gỡ rối"
"Enabled","Kích hoạt"
"Expiration Date","Ngày hết hạn"
"Expiration Date: %s/%s","Ngày hết hạn: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Tên khách hàng nhận được sản phẩm hoặc dịch vụ trả tiền cho việc thanh toán định kì ."
"Incorrect credit card expiration date.","Thẻ tín dụng không đúng ngày hết hạn."
"Initial Fee","Phí ban đầu"
"Initial non-recurring payment amount due immediately upon profile creation.","Không thanh toán số tiền ban đầu ngay khi tạo hồ sơ."
"Internal Reference ID","Mã tham khảo"
"Invalid Credit Card Number","Thẻ tín dụng khô ng hợp lệ"
"Issue Number","Số "
"Make Check Payable to","Thanh toán cho "
"Make Check payable to:","Thanh toán cho:"
"Make Check payable to: %s","Thanh toán cho: %s"
"Maximum Billing Cycles","Chu kì thanh toán tối đa"
"Maximum Order Total","Tổng hóa đơn thanh toán"
"Maximum Payment Failure","Thanh toán tối đa  thất bại "
"Maximum Trial Billing Cycles","Thử chu kì thanh toán tối đa"
"Merchant ID","Mã Merchant "
"Minimum Order Total","Tổng hóa đơn tối thiểu"
"Month","Tháng"
"N/A","N/A"
"Name on Card","Tên trên thẻ"
"Name on the Card","Tên trên thẻ"
"Name on the Card: %s","Tên trên thẻ: %s"
"New Order Status","Tình trạng đơn hàng mới"
"Number of billing periods that make up one billing cycle.","Thời hạn thanh toán hóa đơn trong một chu kì thanh toán."
"Order action is not available.","Hóa đơn thanh toán  không có"
"Overrides API URL that may be specified by a payment method.","URL API có thể được xác định bởi một phương thức thanh toán."
"Password","Mật khẩu"
"Payment ID: %s","Mã thanh toán: %s"
"Payment Method","Phương thức thanh toán"
"Payment Methods","Phương thức thanh toán"
"Payment Methods Section","Phương thức thanh toán"
"Payment Reference ID","Payment Reference ID"
"Payment Services","dịch vụ thanh toán"
"Payment from Applicable Countries","Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Payment method code is not set.","Mã Phương thức thanh toán không được thiết lập."
"Payment method code is undefined.","Mã Phương thức thanh toán là không xác định."
"Payment profile is invalid:\n%s","Hồ sơ thanh toán hợp lệ là :\n%s"
"Period frequency is wrong.","Tần sô sai."
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Processor ID","Mã xử lí"
"Purchase Order","Mua hàng"
"Purchase Order Number","Mua hàng"
"Purchase Order Number:","Số lượng hàng mua:"
"Purchase Order Number: %s","Số hóa đơn mua hàng: %s"
"Recurring Profile Start Date","Ngày bắt đầu "
"Recurring profile start date has invalid format.","Ngày bắt đầu không hợp lệ."
"Reference ID is not set.","Mã tham khảo không được thiết lập."
"Refund action is not available.","Không hoàn trả lại."
"Repeats %s time(s).","Lặp lại thời gian %s."
"Repeats until suspended or canceled.","Lặp lại cho đến khi bị đình chỉ hoặc hủy bỏ."
"Request Card Security Code","Yêu cầu Mã bảo vệ"
"Saved CC","Lưu CC"
"Schedule Description","Mô tả"
"Schedule description must be not empty.","Không có sản phẩm nào để mô tả."
"Selected payment type is not allowed for billing country.","Loại hình thanh toán được lựa chọn là không được phép cho đất nước thanh toán."
"Send Check to","Gửi kiểm tra"
"Send Check to:","Gửi kiểm tra:"
"Severe 3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"Severe validation removes chargeback liability on merchant.","Xác nhận loại bỏ trách nhiệm hoàn phí thương mại."
"Shipping Amount","Tiền vận chuyển"
"Short description of the recurring payment. By default equals to the product name.","Mô tả sơ lược thanh toán định kì. Mặc định bằng tên sản phẩm."
"Sort Order","Đơn đặt hàng"
"Start Date","Ngày bắt đầu"
"Start date has invalid format.","Ngày bắt đầu có định dạng không hợp lệ."
"Start date is undefined.","Không xác định ngày bắt đầu."
"Subscriber Name","Tên người đăng ký"
"Switch/Solo/Maestro Issue Number","Số phát hành Switch/Solo/Maestro "
"Switch/Solo/Maestro Only","Chỉ có Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Ngày bắt đầu Switch/Solo/Maestro "
"Tax Amount","Tiền thuế"
"Test Mode","Phương thức kiểm tra"
"The date when billing for the profile begins.","Ngày bắt đầu thanh toán cho các hồ sơ."
"The number of billing cycles for payment period.","Số lượng các chu kỳ thanh toán cho giai đoạn thanh toán."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Số lần thanh toán theo lịch trình có thể thất bại trước khi hồ sơ tự động bị đình chỉ."
"The payment review action is unavailable.","Hoạt động xem xét thanh toán là không có."
"Title","Tiêu đề"
"Trial Billing Amount","Số tiền thanh toán thử nghiệm"
"Trial Billing Frequency","Tần suất Thanh toán "
"Trial Billing Period Unit","Đơn vị thời kì thanh toán"
"Trial Period","thời gian dùng thử"
"Trial billing amount is wrong.","Số tiền thanh toán thử nghiệm không đúng."
"Trial billing period unit is wrong.","Đơn vị thời hạn thanh toán thử nghiệm là không đúng."
"Trial period frequency is wrong.","Tần số thời gian dùng thử không đúng."
"Trial period max cycles is wrong.","Chu kỳ thời gian tối đa dùng thử là không đúng."
"Two Weeks","Hai tuần"
"Unable to save Billing Agreement:","Không thể lưu Thỏa thuận Thanh toán:"
"Unit for billing during the subscription period.","Đơn vị thanh toán trong thời gian đăng ký."
"Unsupported currency code: %s.","Mã tiền tệ không được hỗ trợ: %s."
"Void action is not available.","Không thể vô hiêu hóa hành động."
"Week","Tuần"
"What is this?","Đây là gì?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Tạm ngưng các hồ sơ thanh toán nếu các khoản phí ban đầu bị lỗi hoặc thêm nó vào các khoản dư nợ."
"Wrong %s specified.","Quy định %s sai."
"Wrong or empty billing amount specified.","Số tiền thanh toán sai quy định hoặc không có sản phẩm."
"Year","Năm"
"Zero Subtotal Checkout","Thanh toán mà không có tổng phụ"
